series,country,break_quarter,before_mean,after_mean,magnitude_pct
Regional,(all),2021Q4,100.1,148.0,47.852147852147866
Regional,(all),2022Q4,148.0,220.2,48.78378378378378
Regional,(all),2024Q2,220.2,127.3,-42.188919164396
Country,Burkina Faso,2022Q4,40.9,124.0,203.1784841075795
Country,Burkina Faso,2023Q4,124.0,55.8,-55.00000000000001
Country,Mali,2021Q4,47.1,80.3,70.48832271762207
Country,Mali,2024Q2,80.3,68.3,-14.943960149439606
Country,Niger,2023Q2,13.6,23.5,72.79411764705883
Country,Niger,2024Q2,23.5,14.7,-37.4468085106383
Country,Benin,2022Q4,2.2,4.5,104.54545454545455
Country,Benin,2023Q4,4.5,6.8,51.11111111111111
Country,Togo,2022Q4,2.3,13.0,465.21739130434787
Country,Togo,2023Q1,13.0,2.9,-77.6923076923077
