quarter,n_events,fatalities,moe1_frontier_lat_p05,moe2_littoral_share_pct,moe3_center_lat_mean
2020Q1,138.0,1238.0,13.1028526,0.7246376811594203,14.21300915942029
2020Q2,109.0,915.0,12.433332,0.0,14.35668886238532
2020Q3,56.0,245.0,12.0749975,0.0,14.311288160714286
2020Q4,80.0,500.0,13.151795,1.25,14.493677425000001
2021Q1,129.0,755.0,12.05,0.7751937984496124,14.375864209302327
2021Q2,112.0,821.0,12.099940499999999,0.0,14.361471294642858
2021Q3,88.0,784.0,11.981408,0.0,14.077132181818179
2021Q4,89.0,930.0,10.4488512,5.617977528089887,14.00662795505618
2022Q1,156.0,1966.0,11.470142,1.9230769230769231,14.405094269230768
2022Q2,137.0,1383.0,11.354223999999999,2.18978102189781,14.066409919708029
2022Q3,139.0,1260.0,11.019483600000001,4.316546762589928,14.035931050359714
2022Q4,160.0,1298.0,11.4087395,3.75,14.241057256250002
2023Q1,225.0,1606.0,10.87942,10.222222222222223,13.381686173333334
2023Q2,244.0,2042.0,11.068111,4.098360655737705,13.250136790983605
2023Q3,209.0,1940.0,11.216234,3.349282296650718,13.696986899521534
2023Q4,221.0,1656.0,11.41667,2.7149321266968327,14.374519588235296
2024Q1,193.0,1766.0,11.1504186,7.253886010362693,13.957612347150256
2024Q2,229.0,2245.0,11.437982,5.676855895196507,14.01509579912664
2024Q3,137.0,1800.0,11.762728000000001,4.37956204379562,14.517155445255476
2024Q4,186.0,966.0,11.32138175,5.913978494623656,14.75521197311828
2026Q2,59.0,271.0,11.7962172,0.0,14.132737966101697
